DACs	RED-gun						GREEN-gun					BLUE-gun					WHITE
		Y		x		y			Y		x		y			Y		x		y			Y		x		y		
  0		1.3300	0.2849	0.3246		1.2400	0.2772	0.3271		1.2500	0.2765	0.3289		1.2700	0.2935	0.3239	
  8		1.5100	0.3206	0.3299		1.9900	0.2790	0.4111		1.3500	0.2403	0.2664		2.2900	0.2706	0.3347	
 16		1.6800	0.3371	0.3396		2.7400	0.2750	0.4474		1.4500	0.2173	0.2247		3.2900	0.2824	0.3239	
 24		1.9100	0.3818	0.3364		3.5100	0.2737	0.4801		1.5500	0.2007	0.1921		4.4800	0.2768	0.3246	
 32		2.1200	0.4084	0.3372		4.3800	0.2762	0.4969		1.6300	0.1983	0.1669		5.7100	0.2820	0.3251	
 40		2.3900	0.4299	0.3331		5.3300	0.2827	0.5077		1.7800	0.1870	0.1510		7.0800	0.2806	0.3228	
 48		2.6400	0.4499	0.3425		6.3600	0.2797	0.5230		1.8900	0.1736	0.1383		8.4600	0.2822	0.3203	
 56		2.9300	0.4669	0.3448		7.3900	0.2826	0.5307		2.0400	0.1734	0.1283		10.0500	0.2800	0.3195	
 64		3.1900	0.4881	0.3409		8.5800	0.2819	0.5414		2.1800	0.1731	0.1195		11.7200	0.2812	0.3177	
 72		3.5300	0.4929	0.3423		9.8000	0.2850	0.5475		2.3500	0.1683	0.1133		13.5100	0.2813	0.3182	
 80		3.9100	0.5082	0.3368		11.0500	0.2861	0.5497		2.5300	0.1645	0.1088		15.3200	0.2810	0.3182	
 88		4.2600	0.5249	0.3396		12.3300	0.2842	0.5575		2.7000	0.1581	0.1043		17.1300	0.2814	0.3162	
 96		4.7100	0.5288	0.3358		13.6400	0.2845	0.5596		2.8500	0.1619	0.0993		19.2200	0.2823	0.3155	
104		5.0500	0.5357	0.3374		15.2200	0.2840	0.5612		3.0800	0.1563	0.0963		21.2700	0.2829	0.3140	
112		5.4600	0.5451	0.3375		16.6800	0.2839	0.5693		3.2500	0.1569	0.0934		23.5500	0.2836	0.3145	
120		5.9600	0.5528	0.3391		18.3500	0.2832	0.5731		3.5000	0.1569	0.0905		25.8600	0.2827	0.3146	
128		6.3400	0.5558	0.3377		19.8300	0.2858	0.5704		3.7200	0.1530	0.0890		28.1700	0.2834	0.3136	
136		6.8100	0.5627	0.3381		21.4300	0.2852	0.5710		3.8900	0.1538	0.0869		30.5100	0.2830	0.3129	
144		7.3300	0.5653	0.3415		23.0700	0.2852	0.5752		4.1800	0.1520	0.0850		32.5400	0.2829	0.3127	
152		7.9400	0.5708	0.3395		24.7500	0.2828	0.5792		4.3900	0.1509	0.0838		35.5000	0.2833	0.3126	
160		8.3100	0.5745	0.3397		26.8700	0.2840	0.5801		4.6200	0.1498	0.0825		38.1100	0.2831	0.3122	
168		8.9110	0.5772	0.3391		28.3200	0.2830	0.5799		4.8400	0.1517	0.0811		40.6300	0.2827	0.3119	
176		9.4600	0.5810	0.3400		30.6400	0.2842	0.5811		5.1200	0.1506	0.0804		43.2500	0.2830	0.3112	
184		10.0600	0.5831	0.3394		32.5600	0.2851	0.5825		5.4300	0.1494	0.0792		46.5100	0.2828	0.3114	
192		10.6000	0.5850	0.3410		34.1000	0.2838	0.5829		5.7000	0.1508	0.0782		48.8200	0.2828	0.3114	
200		11.1600	0.5877	0.3419		36.0600	0.2842	0.5832		5.9900	0.1499	0.0778		51.6900	0.2832	0.3109	
208		11.8100	0.5895	0.3412		38.7500	0.2838	0.5874		6.2100	0.1482	0.0770		54.7200	0.2832	0.3108	
216		12.4400	0.5899	0.3392		40.2000	0.2839	0.5851		6.5000	0.1494	0.0763		58.4000	0.2834	0.3107	
224		13.2200	0.5942	0.3413		42.3100	0.2838	0.5871		6.8100	0.1486	0.0755		61.2800	0.2833	0.3104	
232		13.6200	0.5940	0.3409		44.2600	0.2821	0.5878		7.0800	0.1470	0.0752		64.5000	0.2835	0.3104	
240		14.3600	0.5971	0.3411		46.3200	0.2839	0.5869		7.4100	0.1481	0.0746		67.2700	0.2834	0.3103	
248		15.0400	0.5986	0.3403		49.2500	0.2843	0.5890		7.7000	0.1483	0.0741		69.9800	0.2833	0.3100	
255		15.5900	0.5990	0.3400		51.2200	0.2835	0.5889		7.8800	0.1479	0.0738		73.4500	0.2836	0.3100	
