DACs	RED-gun						GREEN-gun					BLUE-gun					WHITE
		Y		x		y			Y		x		y			Y		x		y			Y		x		y		
  0		3.4100	0.4358	0.4266		3.4500	0.4337	0.4294		3.5400	0.4288	0.4357		3.5300	0.4294	0.4350	
  4		3.4200	0.4353	0.4273		3.4400	0.4385	0.4351		3.5300	0.4294	0.4350		3.5301	0.4294	0.4350	
  8		3.4200	0.4396	0.4336		3.4500	0.4265	0.4349		3.5400	0.4288	0.4357		3.5302	0.4294	0.4350	
 12		3.3700	0.4309	0.4291		3.4400	0.4342	0.4287		3.5400	0.4288	0.4357		3.4900	0.4315	0.4323	
 16		3.3700	0.4352	0.4356		3.4400	0.4385	0.4351		3.5300	0.4294	0.4350		3.5000	0.4269	0.4268	
 20		3.4000	0.4407	0.4322		3.4600	0.4331	0.4301		3.5300	0.4363	0.4298		3.5100	0.4304	0.4337	
 24		3.4600	0.4374	0.4365		3.4600	0.4260	0.4356		3.5400	0.4358	0.4305		3.5101	0.4292	0.4165	
 28		3.5000	0.4379	0.4277		3.4900	0.4315	0.4323		3.5200	0.4327	0.4231		3.5600	0.4267	0.4200	
 32		3.4800	0.4348	0.4203		3.5300	0.4294	0.4350		3.5400	0.4209	0.4236		3.6200	0.4199	0.4183	
 36		3.5400	0.4288	0.4357		3.6200	0.4316	0.4359		3.5500	0.4234	0.4136		3.7200	0.4116	0.4194	
 40		3.4300	0.4347	0.4280		3.7300	0.4221	0.4373		3.5700	0.4115	0.3987		3.8600	0.4050	0.4131	
 44		3.4600	0.4401	0.4249		3.8600	0.4262	0.4466		3.5800	0.4076	0.3942		4.0400	0.4035	0.4057	
 48		3.4900	0.4452	0.4218		4.0200	0.4213	0.4457		3.6200	0.3930	0.3776		4.2600	0.3895	0.3965	
 52		3.5300	0.4405	0.4360		4.2100	0.4190	0.4522		3.6300	0.3866	0.3692		4.5200	0.3838	0.3912	
 56		3.6800	0.4483	0.4247		4.4200	0.4097	0.4643		3.6600	0.3720	0.3504		4.8600	0.3771	0.3803	
 60		3.6500	0.4499	0.4227		4.6800	0.3989	0.4627		3.6800	0.3638	0.3403		5.2100	0.3640	0.3804	
 64		3.7200	0.4587	0.4178		4.9400	0.4004	0.4672		3.7200	0.3535	0.3286		5.5800	0.3575	0.3704	
 68		3.7900	0.4611	0.4177		5.2600	0.3942	0.4785		3.7400	0.3407	0.3106		5.9900	0.3472	0.3658	
 72		3.8800	0.4682	0.4144		5.6100	0.3878	0.4763		3.8000	0.3300	0.2996		6.4900	0.3454	0.3634	
 76		3.9700	0.4693	0.4156		5.9700	0.3792	0.4832		3.8400	0.3192	0.2860		6.9700	0.3385	0.3582	
 80		4.1200	0.4782	0.4119		6.3900	0.3786	0.4970		3.8800	0.3069	0.2695		7.5500	0.3332	0.3533	
 84		4.2300	0.4832	0.4101		6.8200	0.3737	0.5013		3.9400	0.2982	0.2599		8.1200	0.3298	0.3507	
 88		4.2900	0.4779	0.4007		7.2900	0.3684	0.5066		3.9900	0.2883	0.2472		8.7500	0.3236	0.3451	
 92		4.4400	0.4882	0.4102		7.7800	0.3614	0.5080		4.0400	0.2837	0.2345		9.4110	0.3195	0.3441	
 96		4.6000	0.4913	0.4035		8.2900	0.3579	0.5174		4.1000	0.2716	0.2262		10.1100	0.3165	0.3402	
100		4.7500	0.4972	0.4083		8.8300	0.3549	0.5165		4.1700	0.2674	0.2156		10.8800	0.3139	0.3396	
104		4.8900	0.4970	0.3973		9.4500	0.3534	0.5245		4.2400	0.2601	0.2072		11.7000	0.3095	0.3366	
108		5.0300	0.5068	0.3982		10.0500	0.3453	0.5243		4.3100	0.2530	0.1986		12.5300	0.3080	0.3344	
112		5.1300	0.5072	0.3932		10.6300	0.3430	0.5360		4.3700	0.2434	0.1914		13.3800	0.3065	0.3328	
116		5.2900	0.5121	0.3916		11.3400	0.3417	0.5355		4.4600	0.2404	0.1835		14.3000	0.3044	0.3316	
120		5.4600	0.5195	0.3939		11.9300	0.3344	0.5427		4.5500	0.2351	0.1780		15.2400	0.3019	0.3300	
124		5.6900	0.5215	0.3895		12.7200	0.3364	0.5439		4.6300	0.2300	0.1720		16.2200	0.3009	0.3285	
128		5.9100	0.5236	0.3852		13.4500	0.3327	0.5456		4.7200	0.2274	0.1649		17.2200	0.2983	0.3273	
132		6.1000	0.5292	0.3881		14.1700	0.3303	0.5495		4.8000	0.2232	0.1600		18.2100	0.2976	0.3262	
136		6.2400	0.5333	0.3862		14.9600	0.3265	0.5518		4.8900	0.2187	0.1547		19.3100	0.2961	0.3259	
140		6.4200	0.5387	0.3836		15.7800	0.3251	0.5524		4.9900	0.2143	0.1497		20.4300	0.2955	0.3247	
144		6.6900	0.5383	0.3818		16.6500	0.3239	0.5559		5.0700	0.2108	0.1451		21.6300	0.2941	0.3233	
148		6.9300	0.5414	0.3815		17.4700	0.3199	0.5560		5.1700	0.2074	0.1415		22.7800	0.2928	0.3236	
