Measurement Results for full range
DAC-value         RED-gun             GREEN-gun              BLUE-gun                WHITE
              Y      x      y       Y      x      y       Y      x      y       Y      x      y
 07        6.39 0.2703 0.2845    6.33 0.2678 0.2838    6.71 0.2666  0.286     6.7 0.2704 0.2859
 15        6.39 0.2677 0.2873    6.44 0.2665 0.2873    6.71 0.2703 0.2862    6.74   0.27 0.2871
 23        6.33 0.2678 0.2838    6.35 0.2675 0.2845    6.73 0.2695 0.2853    6.79 0.2688 0.2872
 31        6.35 0.2675 0.2845     6.5 0.2684 0.2865    6.73 0.2632 0.2878    6.88 0.2702 0.2872
 39        6.41 0.2668 0.2864    6.59 0.2667 0.2878    6.76 0.2679 0.2835    7.04 0.2696 0.2866
 47        6.48 0.2686 0.2859     6.7 0.2686   0.29     6.8  0.262 0.2803     7.3 0.2703 0.2864
 55        6.18 0.2751 0.2913    7.63  0.272 0.2998    6.83 0.2636 0.2774    7.59 0.2706  0.287
 63        6.66 0.2753 0.2863    7.18 0.2681 0.2989    6.96  0.256 0.2746    8.03 0.2699 0.2856
 71        6.68 0.2789 0.2871    7.37  0.269 0.3032       7 0.2565 0.2697    8.35 0.2669 0.2867
 79        6.72 0.2815 0.2871    7.62 0.2686 0.3076    7.07 0.2528 0.2645    8.88 0.2681 0.2866
 87         6.9 0.2847 0.2886    7.98 0.2666 0.3133    7.16 0.2492 0.2602     9.6 0.2706 0.2858
 95        7.05  0.291 0.2881   8.421 0.2666 0.3196    7.29 0.2468 0.2532   10.47 0.2669 0.2878
103         7.3 0.2987 0.2892       9 0.2706 0.3266    7.46 0.2407 0.2457    11.6 0.2679 0.2879
111        7.55 0.3067 0.2916     9.7 0.2675 0.3367    7.66 0.2342 0.2379   12.98 0.2695 0.2884
119        7.78 0.3104 0.2919   10.31 0.2704 0.3418    7.81 0.2297 0.2322   14.16  0.271 0.2879
127        8.04 0.3193 0.2921   11.36  0.271 0.3456    8.01 0.2247 0.2266    15.6 0.2714 0.2885
135        8.32  0.325 0.2937    11.6 0.2717 0.3579    8.22 0.2238 0.2191   17.15 0.2723 0.2892
143        8.84 0.3323 0.2946   12.52 0.2733 0.3651     8.5 0.2201 0.2131   18.97 0.2721 0.2903
151        9.07 0.3407  0.295   13.26 0.2729 0.3728    8.78 0.2128 0.2077   20.93 0.2732 0.2912
159       10.16 0.3436 0.2969   14.54 0.2728 0.3812    9.11 0.2092 0.2017   23.22  0.275 0.2922
167        9.98 0.3596 0.2989   16.06 0.2747 0.3901    9.49 0.2057 0.1969   25.71 0.2754 0.2938
175       10.47 0.3678 0.2999   17.38 0.2762 0.3971    9.87 0.2022 0.1913   28.47 0.2768 0.2951
183       11.05 0.3768 0.3027   18.75 0.2761 0.4058   10.31 0.2002 0.1865    31.4  0.278 0.2967
191       11.67 0.3872 0.3034   20.84 0.2768 0.4103   10.77 0.1955 0.1825   34.61   0.28 0.2984
199       12.35 0.3959 0.3051   22.84 0.2795 0.4183   11.26 0.1938 0.1788    37.9 0.2816 0.3005
207       13.11 0.4058 0.3066   24.75 0.2811 0.4252   11.75 0.1911 0.1758   41.35 0.2825 0.3029
215       13.88 0.4134 0.3087   26.66 0.2822 0.4305   12.28 0.1886 0.1734   44.78 0.2851  0.305
223        15.1 0.4245 0.3103   29.67 0.2831 0.4388   13.08  0.186  0.171   49.95 0.2881 0.3088
231       16.32 0.4365 0.3126   32.59 0.2845 0.4459   13.83  0.183 0.1696   54.84 0.2914 0.3126
239       17.68 0.4481  0.317   35.88 0.2862 0.4535   14.65 0.1822 0.1686   60.03 0.2953 0.3173
247       19.46 0.4592 0.3183   39.83 0.2894 0.4608   15.58 0.1805 0.1694   65.86 0.3005 0.3234
255       22.89 0.4816 0.3243   46.41 0.2957 0.4736   16.89 0.1804 0.1755   74.16 0.3126 0.3355
