SUBJECT	DATETIME	TRIAL	DELAY	ACTSTIMDUR	TARGET	KEY	RT
frans	10_01_2007_09_34_24	1	750.4	700.3	0	right	11079.8
frans	10_01_2007_09_34_29	2	975.1	500.3	0	left	4247.3
frans	10_01_2007_09_34_46	3	859.9	500.2	4	right	15586.1
frans	10_01_2007_09_34_52	4	768.2	500.2	0	left	4816.6
frans	10_01_2007_09_34_56	5	802.0	500.3	6	left	3180.5
frans	10_01_2007_09_34_59	6	868.5	500.2	1	right	2534.6
frans	10_01_2007_09_35_03	7	613.8	500.2	0	right	3062.6
frans	10_01_2007_09_35_07	8	684.7	500.2	6	left	2614.4
frans	10_01_2007_09_35_09	9	665.6	500.3	0	right	1056.1
frans	10_01_2007_09_35_10	10	602.2	500.2	8	left	851.0
