SUBJECT	DATETIME	TRIAL	DELAY	ACTSTIMDUR	TARGET	KEY	RT
frans	10_01_2007_09_38_04	1	584.5	700.2	10	right	2688.0
frans	10_01_2007_09_38_06	2	775.7	500.2	4	right	501.3
frans	10_01_2007_09_38_07	3	978.4	250.1	0	right	233.5
frans	10_01_2007_09_38_08	4	567.5	350.1	0	right	329.6
frans	10_01_2007_09_38_09	5	744.9	200.2	0	right	181.4
frans	10_01_2007_09_38_10	6	571.8	283.4	1	right	275.6
frans	10_01_2007_09_38_11	7	643.9	316.7	0	right	311.1
frans	10_01_2007_09_38_12	8	507.6	316.8	5	right	311.0
frans	10_01_2007_09_38_15	9	979.8	500.3	0	right	1373.8
frans	10_01_2007_09_38_16	10	601.1	300.1	6	right	288.7
