SUBJECT	DATETIME	TRIAL	DELAY	INSTR	KEY	RT
s1	09.01.2007 09:16:01	1	1179.7	right	right	5811.4
s1	09.01.2007 09:16:03	2	1012.9	right	right	1032.7
s1	09.01.2007 09:16:04	3	823.7	left	left	158.5
s1	09.01.2007 09:16:05	4	581.3	right	right	215.7
s1	09.01.2007 09:16:06	5	720.6	right	left	248.8
s1	09.01.2007 09:16:08	6	1317.4	right	right	296.9
s1	09.01.2007 09:16:10	7	1733.2	right	left	1066.4
s1	09.01.2007 09:16:13	8	1754.1	left	right	709.5
s1	09.01.2007 09:16:15	9	1468.8	left	left	781.4
s1	09.01.2007 09:16:18	10	1479.5	right	right	812.3
s1	09.01.2007 09:16:19	11	905.6	left	left	0.3
s1	09.01.2007 09:16:21	12	1662.2	left	right	563.6
s1	09.01.2007 09:16:23	13	1755.8	left	left	561.7
s1	09.01.2007 09:16:25	14	1908.3	left	left	83.2
s1	09.01.2007 09:16:27	15	1657.8	left	right	17.6
s1	09.01.2007 09:16:29	16	1237.4	left	right	407.7
s1	09.01.2007 09:16:30	17	803.6	right	left	120.3
s1	09.01.2007 09:16:32	18	1756.4	right	left	467.6
s1	09.01.2007 09:16:34	19	1180.7	right	right	276.8
s1	09.01.2007 09:16:35	20	737.9	left	right	828.7
